Country Name;Country Code;Indicator Name;Indicator Code;Attribute;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;Common Reference Period;
Albania;914;Transport;PCPIT_IX;Reference Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;;
Bolivia;218;Health, Percentage change, Previous year;PCPIM_PC_CP_A_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.35637531123051;4.33142621677735;6.27221631475012;5.69619348475536;2.33149410364599;7.68620817254322;8.65077806685975;8.6340686523669;7.19298792850683;7.16523594742713;4.8641407650115;3.62691617179946;3.58659981009179;;
Albania;914;Housing, Water, Electricity, Gas and Other Fuels;PCPIH_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.6666666666667;91.0583333333333;92.65;96.0083333333333;98.6583333333333;99.5416666666667;99.7833333333333;101.108333333333;100.583333333333;100.624466083333;101.628393;104.471146916667;2015M12;
Albania;914;Housing, Water, Electricity, Gas and Other Fuels;PCPIH_IX;Reference Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;;
Bolivia;218;Recreation and culture, Percentage change, Previous year;PCPIR_PC_CP_A_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.85815904023782;2.19475793261366;2.00058016824878;0.459934687313059;1.49843811011326;3.75763404664582;2.25431489961253;1.47669380133075;2.34851665579804;1.24986907795972;-0.313782283369548;1.7052922864061;1.17079889807162;;
Bolivia;218;Miscellaneous goods and services, Percentage change, Previous period;PCPIO_PC_PP_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.92292526484582;2.14842994390354;6.69730214237922;5.02745042358842;2.30158283107081;8.18650339177166;5.60656338429591;3.88819277108434;3.5283530023009;2.89460241784437;1.5772925612061;1.24841375998904;1.46505877172182;;
Bolivia;218;Food and non-alcoholic beverages, Percentage change, Previous period;PCPIF_PC_PP_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.85470630768579;14.5775991963837;25.6088793813891;1.28147858618572;2.94814896490891;13.938387800731;3.91873472457229;8.84790646660409;8.12245491564862;4.61362566413345;5.51315608210499;3.34586727943736;2.5452279082303;;
Albania;914;Communication;PCPIEC_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121.8;114.958333333333;98.4166666666667;98.7916666666667;99.025;98.975;99.4583333333333;99.1083333333333;100.616666666667;100.180189416667;100.452517333333;101.141208166667;2015M12;
Albania;914;Communication;PCPIEC_IX;Reference Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;;
Bolivia;218;Clothing and footwear, Percentage change, Previous year;PCPIA_PC_CP_A_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.90452449530501;4.99341172960743;7.18421083788168;2.84432956666777;1.46392284063326;6.93984269972161;4.59985152190052;2.86263153910211;2.23281231312734;2.07065980346279;0.466387480714125;0.978464994646971;1.117590315376;;
